name,price,url,views_cnt,city,seller,seller_rating,comments_cnt
Этно украшения,150.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_3770240092?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,4439,Махачкала,ethno,,217
"Этно украшения (кольца, серьги и тд)",550.0,https://www.avito.ru/sibay/chasy_i_ukrasheniya/etno_ukrasheniya_koltsa_sergi_i_td_7240612840?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,28,Сибай,Алия Искужина,,1
Этно Бижутерия,250.0,https://www.avito.ru/dagestan_kizlyar/odezhda_obuv_aksessuary/etno_bizhuteriya_4837928941?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,14,Кизляр,Асият,,0
Этно украшения и кольцо с арабской надписью,200.0,https://www.avito.ru/magas/chasy_i_ukrasheniya/etno_ukrasheniya_i_koltso_s_arabskoy_nadpisyu_4697704462?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,202,Магас,Хава Клематова,,2
Этно украшения на голову,50.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_na_golovu_3700173719?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,2725,Махачкала,SAFIYA,,50
Этно украшения кольца,110.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_koltsa_3392370120?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,9835,Махачкала,Халимат,,36
Украшения в этно стиле,268.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/ukrasheniya_v_etno_stile_7249486819?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,9,Москва,Мадина,,0
Национальные украшения,350.0,https://www.avito.ru/kazan/chasy_i_ukrasheniya/natsionalnye_ukrasheniya_4870187850?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,470,Казань,Роза,,37
Этно украшения,500.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/etno_ukrasheniya_4581817643?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,1090,Москва,Товары из Кыргызстана,,9
Этно украшения,150.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_3865938301?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,357,Махачкала,ethno,,217
